number,title,Place
2,ジェットコースター殺人事件,トロピカルランド
3,社長令嬢誘拐事件,谷邸
4,アイドル密室殺人事件,沖野ヨーコの自宅マンション
5,赤鬼村火祭殺人事件,赤鬼村火祭
6,奇妙な人捜し殺人事件,米花市内各所
7,幽霊屋敷殺人事件,四丁目の古びた洋館
8,豪華客船連続殺人事件,本家貸切の客船
9,月いちプレゼント脅迫事件,米花総合病院
10,美術館オーナー殺人事件,米花美術館
11,新幹線大爆破事件,新幹線車内
12,大都会暗号マップ事件,米花市内各所
13,山荘包帯男殺人事件,鈴木家の別荘
14,カラオケボックス殺人事件,カラオケボックス
15,江戸川コナン誘拐事件,米花ホテル
16,骨董品コレクター殺人事件,丸伝次郎邸の離れ
17,消えた死体殺人事件,田中宅
18,天下一夜祭殺人事件,埼玉県桶山ホテル
19,ピアノソナタ「月光」殺人事件,月影島
20,プロサッカー選手脅迫事件,赤木のマンション
21,闇の男爵[ナイトバロン]殺人事件,伊豆プリンセスホテル
22,6月の花嫁殺人事件,教会
23,歩美ちゃん誘拐事件,米花市内各所
24,小五郎の同窓会殺人事件,温泉旅館「弁慶」
25,資産家令嬢殺人事件,四井家別荘
26,外交官殺人事件,辻村邸
27,図書館殺人事件,米花図書館
28,雪山山荘殺人事件,大山の別荘
29,テレビ局殺人事件,日売テレビ
30,コーヒーショップ殺人事件,CafeRoyal
31,霧天狗伝説殺人事件,山泥寺
32,月と星と太陽の秘密,阿笠栗介の別荘
33,ゲーム会社殺人事件,米花ホテル、大黒ビル
34,ホームズ・フリーク殺人事件,ペンション「Mycroft（マイクロフト）」
35,三つ子別荘殺人事件,伊豆の富沢家別荘
36,イラストレーター殺人事件,米花第２マンション
37,大怪獣ゴメラ殺人事件,大宝撮影所
38,追いつめられた名探偵！連続2大殺人事件[1],九十九元康邸の地下室
39,追いつめられた名探偵！連続2大殺人事件[2],籔内家
40,スキーロッジ殺人事件,貸別荘
41,人気アーティスト誘拐事件,倉庫の二階
42,金融会社社長殺人事件,肥田金融の社長室
43,名家連続変死事件,長門邸
44,帝丹小学校七不思議事件,帝丹小学校
45,コナンvs.怪盗キッド,米花博物館/Q・セリザベス号
46,名陶芸家殺人事件,菊右衛門邸
47,スキューバダイビング殺人事件,伊豆の海水浴場
48,強盗犯人入院事件,米花総合病院
49,盗賊団謎の洋館事件,出淵紋時郎の洋館
50,時代劇俳優殺人事件,土方幸三郎のマンション
51,初恋の人思い出事件,東都大推理研究会が借りた別荘
52,黒の組織から来た女大学教授殺人事件[1],大渡間新聞社
53,黒の組織から来た女大学教授殺人事件[2],広田家
54,ミステリー作家失踪事件,大学館文芸時代編集部
55,浪花の連続殺人事件,大阪府内各所
56,競技場無差別脅迫事件,国立競技場
57,奇術愛好家殺人事件,奇術愛好家連盟の貸別荘
58,バスルーム密室事件,青島邸
59,青の古城探索事件,間宮邸
60,空飛ぶ密室工藤新一最初の事件,飛行機内
61,本庁の刑事恋物語,増尾邸
62,結婚前夜の密室事件,森園邸
63,上野発北斗星3号,寝台列車「北斗星」
64,園子のアブない夏物語,伊豆・瓦屋旅館
65,最後の上映殺人事件,映画館「キネカ7」
66,二十年目の殺意シンフォニー号連続殺人事件,小笠原イルカツアーの客船
67,本庁の刑事恋物語2,杯戸町内各所
68,暗闇の中の死角,新出邸
69,黒の組織との再会,杯戸シティホテル
70,よみがえる死の伝言[ダイイング・メッセージ],トロピカルランドスケートリンク
71,鳥取クモ屋敷の怪,鳥取県・武田家
72,命がけの復活[洞窟の探偵団／負傷した名探偵],キャンプ場
73,命がけの復活[第3の選択／黒衣の騎士],帝丹高校
74,命がけの復活[帰ってきた新一…&約束の場所],米花センタービル
75,意味深なオルゴール,緒方家
76,容疑者・毛利小五郎,軽井沢のホテル
77,本庁の刑事恋物語3,品川
78,バトルゲームの罠,ゲームセンター「GAMEONGAME」
79,きのこと熊と探偵団,山の中
80,偽りだらけの依頼人,柴田家
81,そして人魚はいなくなった,福井県・美國島（びくにじま）
82,封印された目暮の秘密,杯戸百貨店
83,謎めいた乗客,バスの中
84,消えなかった証拠,加納家
85,大阪“3つのK”事件,ホテルK3
86,新幹線護送事件,新幹線車内
87,集められた名探偵！工藤新一vs.怪盗キッド,黄昏の館
88,元太少年の災難,米花市内
89,殺意の陶芸教室,陶芸教室の物置
90,毛利小五郎のニセ者,葵屋旅館
91,網にかかった謎,伊豆・海水浴場
92,大阪ダブルミステリー浪花剣士と太閤の城[1],浪花中央体育館
93,大阪ダブルミステリー浪花剣士と太閤の城[2],大阪城
94,アイドル達の秘密,草野薫宅
95,シカゴから来た男,米花市内～埼玉県
96,本庁の刑事恋物語4,杯戸町・水都楼
97,本庁の刑事恋物語4,米花町・コンビニ
97,バレンタインの真実,吹渡山荘
98,犯罪の忘れ形見,護田宅
99,隠して急いで省略,ビルのエスカレーター
100,西の名探偵vs.英語教師,高井宅
101,迷宮のフーリガン,東都鉄道・杯戸駅
102,中華街雨のデジャビュ,神奈川県・中華街の中華料理店
103,工藤新一NY[ニューヨーク]の事件,NYブロードウェイ・ファントム劇場（シアター）
104,幽霊屋敷の真実,オンボロアパート
105,迷いの森の光彦,群馬県の森
106,孤島の姫と竜宮城,沖縄県船浦島
107,悪意と聖者の行進,米花市大通り
108,揺れる警視庁1200万人の人質,東都タワーのエレベーター
109,見えない容疑者,富士山の山奥の洋館
110,残された声なき証言,ホテルニュー米花2004号室
111,黒の組織との接触[交渉編／追跡編／決死編],BMW車内
112,夕陽に染まった雛人形,観野家宅
113,汚れた覆面ヒーロー,東都国技館
114,服部平次絶体絶命！,伊藤美沙里邸
115,炎の中に赤い馬,諸角邸
116,お金で買えない友情,キャンプ場
117,小さな依頼者,熱海の旅館205号室
118,本庁の刑事恋物語5,トロピカルマリンランド
119,疑惑の辛口カレー,軽井沢の屋敷
120,イチョウ色の初恋,東都動物園
121,似た者プリンセス,藤枝邸
122,東都現像所の秘密,東都現像所
123,東都現像所の秘密,穂島朗の自宅マンション
123,4台のポルシェ,阿笠博士の家
124,4台のポルシェ,東都デパート地下駐車場
125,4台のポルシェ,東都デパートレストラン街
124,トイレに隠した秘密,阿笠博士の家
125,トイレに隠した秘密,出島デザイン事務所（宮野博士の生家）
126,トイレに隠した秘密,阿笠博士のビートル車内
125,コンビニの落とし穴,帝丹高校
126,コンビニの落とし穴,コンビニエンス・サンデーマート
127,コンビニの落とし穴,ジョディのマンション
126,黒の組織と真っ向勝負満月の夜の二元ミステリー,毛利探偵事務所
127,黒の組織と真っ向勝負満月の夜の二元ミステリー,阿笠博士の家
128,黒の組織と真っ向勝負満月の夜の二元ミステリー,幽霊船シーファントム号
129,黒の組織と真っ向勝負満月の夜の二元ミステリー,横浜港の埠頭
130,黒の組織と真っ向勝負満月の夜の二元ミステリー,森
127,お尻のマークを探せ！,米花総合病院
128,お尻のマークを探せ！,米花町内の路上
129,お尻のマークを探せ！,警視庁
130,お尻のマークを探せ！,米花警察署
128,忘れられた携帯電話,喫茶ポアロ
129,どっちの推理ショー,毛利探偵事務所
130,どっちの推理ショー,杯戸町のパスタ屋
131,どっちの推理ショー,辻谷玩具製作所
130,甲子園の奇跡！見えない悪魔に負けず嫌い,甲子園球場
131,本庁の刑事恋物語6,警視庁
132,本庁の刑事恋物語6,千葉刑事の部屋
132,怪盗キッドの驚異空中歩行,鈴木次郎吉の屋敷
133,怪盗キッドの驚異空中歩行,毛利探偵事務所
134,怪盗キッドの驚異空中歩行,鈴木大博物館
133,帝丹高校学校怪談,毛利探偵事務所
134,帝丹高校学校怪談,帝丹高校
134,丸見え埠頭の惨劇,沖の防波堤
135,物言わぬ航路,沖縄県那覇市
136,物言わぬ航路,那覇空港
137,物言わぬ航路,沖縄県警那覇署
138,物言わぬ航路,毛利探偵事務所
139,物言わぬ航路,宮崎プリンセスホテル
140,物言わぬ航路,飛行機JAL931便の機内
136,星と煙草の暗号,群馬の山奥のペンション天土
137,ストラディバリウスの不協和音[前奏曲／間奏曲／後奏曲],阿笠博士の家
138,ストラディバリウスの不協和音[前奏曲／間奏曲／後奏曲],毛利探偵事務所
139,ストラディバリウスの不協和音[前奏曲／間奏曲／後奏曲],設楽家
138,奇抜な屋敷の大冒険[封印編／絡繰編／解決編],キャンプ場
139,奇抜な屋敷の大冒険[封印編／絡繰編／解決編],三水吉右衛門の屋敷
139,奇妙な一家の依頼疑惑を持った蘭,毛利探偵事務所
140,奇妙な一家の依頼疑惑を持った蘭,狩谷家
141,奇妙な一家の依頼疑惑を持った蘭,提無津川の川縁
140,宝石強盗現行犯,宝石店
141,宝石強盗現行犯,猫田食品輸入会社
141,コナン・平次の推理マジック[仕掛編／館編／解決編],星川童吾超奇術ショー会場
142,コナン・平次の推理マジック[仕掛編／館編／解決編],ショー控え室
143,コナン・平次の推理マジック[仕掛編／館編／解決編],Mr.正影の家
142,神社鳥居ビックリ暗号,山奥のキャンプ場
143,神社鳥居ビックリ暗号,丸虫温泉
144,神社鳥居ビックリ暗号,村の神社の鳥居
145,神社鳥居ビックリ暗号,嘉納の車
143,仏滅に出る悪霊[事件編／疑惑編／解決編],静岡の国友家
144,ブラックインパクト！組織の手が届く瞬間,日売TVのスタジオ
145,ブラックインパクト！組織の手が届く瞬間,日売TVの食堂
146,ブラックインパクト！組織の手が届く瞬間,杯戸町の水無怜奈の自宅マンション
147,ブラックインパクト！組織の手が届く瞬間,阿笠博士のビートル車内
148,ブラックインパクト！組織の手が届く瞬間,ジェイムズ・ブラックのベンツ車内
149,ブラックインパクト！組織の手が届く瞬間,廃屋の倉庫
150,ブラックインパクト！組織の手が届く瞬間,阿笠博士の家
151,ブラックインパクト！組織の手が届く瞬間,鳥矢大橋
152,ブラックインパクト！組織の手が届く瞬間,毛利小五郎探偵事務所
153,ブラックインパクト！組織の手が届く瞬間,杯戸中央病院
145,超秘密の通学路,帝丹小学校
146,超秘密の通学路,雨宮祥子の家
147,超秘密の通学路,三池の家
148,超秘密の通学路,サンデーマート
149,超秘密の通学路,米花薬局
150,超秘密の通学路,古い倉庫
151,超秘密の通学路,新出医院
152,超秘密の通学路,毛利探偵事務所
146,もう戻れない二人,毛利探偵事務所
147,もう戻れない二人,群馬のスキー場
147,本庁の刑事恋物語7,カフェ
148,本庁の刑事恋物語7,江本姉弟のマンション
149,本庁の刑事恋物語7,六田のアパート
150,本庁の刑事恋物語7,引屋の自宅
151,本庁の刑事恋物語7,佐塚の自宅
152,本庁の刑事恋物語7,警視庁
148,探偵団に注目取材,帝丹小学校
149,探偵団に注目取材,杉森のアパート
149,平次の思い出,毛利探偵事務所
150,平次の思い出,服部平次の家
151,平次の思い出,山形県のスキー場
152,平次の思い出,スキー場近くのホテル
153,平次の思い出,大阪府警本部
150,お魚メールの追跡,喫茶ポアロ
151,お魚メールの追跡,桔前崎の駐車場
151,ため息潮干狩り,神奈川の干潟
152,ため息潮干狩り,干潟近くの駐車場
152,ロシアンブルーの秘密,毛利小五郎探偵事務所
153,封印された洋窓,園子の別荘近くの、ドルクスメンバーの別荘
154,因縁と友情の試写会,東都シネマ
155,因縁と友情の試写会,奥穂第2ビル
155,本庁の刑事恋物語[偽りのウェディング],結婚式場
156,本庁の刑事恋物語[偽りのウェディング],提無津川べりの空き倉庫
156,ひっくり返った結末,ホテルニュー米花
157,ひっくり返った結末,萬田年久の家
158,ひっくり返った結末,原本高平の家
157,園子の赤いハンカチ,『冬の紅葉』ロケ地の山
158,園子の赤いハンカチ,赤樹旅館
159,園子の赤いハンカチ,ファミリーレストランChu-ji
158,怪盗キッドと四名画,奥多摩にある及川の別荘
159,1年B組大作戦！,帝丹小学校1-B
160,1年B組大作戦！,音楽室
160,黒の組織の影[幼い目撃者／奇妙な照明],杯戸中央病院
161,黒の組織の影[幼い目撃者／奇妙な照明],毛利探偵事務所
